,Mission ID,Mission Date,Theater of Operations,Country,Aircraft Series,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target Country,Target City,Target Latitude,Target Longitude,Altitude,High Explosives,High Explosives Type,High Explosives Weight LBS,High Explosives Weight Tons,Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight LBS,Incendiary Devices Weight Tons,Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight LBS,Fragmentation Devices Weight Tons,Total Weight LBS,Total Weight Tons
66,67,8/15/1943,MTO,USA,B25,,,,,ITALY,AGATA,38.08,14.63,95.0,,,,2.0,,,,,,,,,,2.0
81,82,8/15/1943,MTO,USA,B25,,,,,ITALY,SIBARI,39.78,16.47,70.0,,,,18.0,,,,,,,,,,18.0
95,96,8/16/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,VILLA SAN GIOVANNI,38.2,15.65,,64.0,500 LB GP (GP-M43/M64),,16.0,,,,,,,,,,16.0
125,126,7/29/1944,CBI,USA,B29,,,,,CHINA,TAKU,39.0,117.7,170.0,116.0,500 LB GP (GP-M43/M64),,29.0,,,,,,,,,,29.0
147,148,7/29/1944,PTO,USA,B25,,,,,NEW GUINEA,CAPE KARAKRA,-2.366666666,132.6666667,,20.0,100 LB GP (GP-M30),,1.0,,,,,,,,,,1.0
166,167,7/29/1944,PTO,USA,P39,,,,,NEW GUINEA,YARABOS,-3.5333333330000003,143.55,,8.0,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
250,251,2/16/1945,ETO,USA,B24,,,,,GERMANY,47 00 N 017 00 E,47.0,17.0,,,,,2.0,,,,,,,,,,2.0
270,271,2/16/1945,ETO,USA,B24,,,,,GERMANY,49 20 N 011 40 E,49.33,11.67,,,,,2.0,,,,,,,,,,2.0
274,275,2/16/1945,ETO,USA,B26,,,,,GERMANY,50 40 N 009 20 E,50.67,9.33,,,,,,,,,30.0,,,,,,30.0
303,304,2/19/1943,PTO,USA,B24,,,,,CAROLINE ISLANDS,2 00 N 149 4,2.0,149.66666669999998,75.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
645,646,8/17/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,LA SPEZIA,44.1,9.83,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
646,647,8/17/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,LAMEZIA,38.92,16.25,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
868,869,2/16/1945,ETO,,B26,,,,,GERMANY,ZELTINGEN,49.95,7.03,117.0,,,,1.0,,,,,,,,,,1.0
880,881,2/16/1945,ETO,,B24,,,,,GERMANY,EMSDETTEN,52.2,7.53,,,,,23.0,,,,,,,,,,23.0
888,889,2/16/1945,ETO,,B26,,,,,GERMANY,LESSENICH,50.6,6.73,,,,,2.0,,,,,,,,,,2.0
890,891,2/16/1945,ETO,,A26,,,,,GERMANY,LEUZBACH,50.68,7.63,,,,,1.0,,,,,,,,,,1.0
893,894,2/16/1945,ETO,,B26,,,,,GERMANY,REES,51.73,6.4,,,,,30.0,,,,,,,,,,30.0
939,940,8/17/1943,ETO,,B26,,,,,FRANCE,BRYAS,50.4,2.38,110.0,,,,29.0,,,,,,,,,,29.0
974,975,8/17/1943,MTO,USA,B25,,,,,ITALY,CASTROVILLARI,39.8,16.2,85.0,,,,2.0,,,,,,,,,,2.0
978,979,8/17/1943,MTO,USA,B25,,,,,ITALY,PALERMITI,38.75,16.45,73.0,,,,15.0,,,,,,,,,,15.0
997,998,8/18/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,SCALEA,39.85,15.78,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
1004,1005,7/29/1944,PTO,USA,P39,,,,,NEW GUINEA,KAROEANI BAY,-2.25,134.1666667,,,100 LB GP (GP-M30),,,,,,,,,,,,
1051,1052,7/30/1944,PTO,USA,B25,,,,,NEW GUINEA,CAPE OPMARAI,-0.41666666700000005,132.25,,2.0,1000 LB GP (GP-M44/M65),,1.0,,,,,,,,,,1.0
1059,1060,7/30/1944,ETO,USA,B26,,,,,FRANCE,LES LOGES,48.71,0.91,115.0,,,,,,,,,,,,38.0,,38.0
1075,1076,7/30/1944,ETO,,B26,,,,,FRANCE,ST MARTIN DES BIEN,49.02,0.4,127.0,,,,32.0,,,,,,,,,,32.0
1131,1132,2/16/1945,MTO,USA,B24,,,,,ITALY,ALBONA,45.07,14.1,,,,,,,,,,,,,2.0,,2.0
1201,1202,2/27/1944,PTO,USA,B24,,,,,BISMARK ARCHIPELAGO,MUNDUA ISLAND,-4.666666667,149.33333330000002,60.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
1203,1204,8/18/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,NICASTRO,38.97,16.3,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
1226,1227,8/18/1943,MTO,USA,B26,,,,,ITALY,STALETTI,38.77,16.55,,,,,3.0,,,,,,,,,,3.0
1236,1237,8/19/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,CATANZARO,38.9,16.62,,32.0,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0
1309,1310,7/30/1944,ETO,,B26,,,,,FRANCE,ST PIERRE DU FRESNE,49.03,0.77,120.0,,,,,,,,,,,,78.0,,78.0
1326,1327,7/30/1944,ETO,,B26,,,,,FRANCE,CAUMONT,49.08,0.82,,,,,2.0,,,,,,,,,,2.0
1364,1365,7/30/1944,MTO,USA,B26,,,,,ITALY,BISTAGNO,44.63,8.45,104.0,,,,30.0,,,,,,,,,,30.0
1384,1385,7/30/1944,PTO,USA,P40,,,,,FRENCH INDO CHINA,HUNG YEN,20.6,106.16666670000001,10.0,,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
1402,1403,2/17/1945,CBI,USA,P47,,,,,BURMA,NAKYEH,22.93333333,97.46666667,15.0,20.0,500 LB GP (GP-M43/M64),,5.0,,,,,,,,,,5.0
1420,1421,2/17/1945,CBI,USA,P47,,,,,BURMA,HPAYE,22.81666667,97.71666667,20.0,8.0,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
1432,1433,2/17/1945,PTO,USA,B24,,,,,,UMAN ISLAND,7.3,151.8833333,212.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
1443,1444,2/17/1945,CBI,USA,P38,,,,,BURMA,HAIPU,22.58333333,97.0,,0.0,325 LB DC (DB-MK 17/47),,,,,,,,,,,,
1549,1550,8/19/1943,CBI,USA,P40,,,,,BURMA,RANGE,26.58333333,96.0,8.0,,,,,,,,,0.0,20 LB FRAG,,,,
1559,1560,2/17/1943,PTO,USA,B24,,,,,CAROLINE ISLANDS,1 45 N 149 4,1.75,149.66666669999998,15.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
1729,1730,2/17/1945,ETO,,B26,,,,,GERMANY,REINSFELD,49.67,6.88,,,,,2.0,,,,,,,,,,2.0
1777,1778,2/17/1945,CBI,USA,B25,,,,,BURMA,TABE,21.86666667,95.86666667,48.0,,,,,,100 LB INCENDIARY,,8.0,,,,,,8.0
1784,1785,2/17/1945,PTO,USA,B24,,,,,BISMARK ARCHIPELAGO,TAWAU,-4.7,153.05,100.0,,,,,,,,,0.0,120 LB FRAG (6X20 CLUSTERS),,,,
1791,1792,2/17/1945,PTO,USA,B24,,,,,VOLCANO AND BONIN ISLANDS,SURIBACHIYAMA,24.75,141.2833333,49.0,,,,,,,,,215.3846154,260 LB FRAG,,28.0,,28.0
1833,1834,8/21/1943,MTO,,B26,,,,,ITALY,VILLA DI TIRANO,46.2,10.13,90.0,,,,16.0,,,,,,,,,,16.0
1834,1835,8/21/1943,CBI,USA,P40,,,,,BURMA,MASHIDARU,26.41666667,96.58333333,6.0,,,,,,,,,0.0,20 LB FRAG,,,,
1838,1839,8/22/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,SALERNO,40.67,14.73,,44.0,500 LB GP (GP-M43/M64),,11.0,,,,,,,,,,11.0
1888,1889,8/23/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,EBOLI,40.6,15.07,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
2029,2030,2/18/1945,PTO,NEW ZEALAND,PV-1 VENTURA,BOUGAINVILLE ISLAND,SOLOMON ISLANDS,-6.244444,155.38388899999998,SOLOMON ISLANDS,BANIU HARBOR,-5.5,154.9,,16.0,1000 LB GP (GP-M44/M65),16000,8.0,,,,0.0,,,,0.0,16000.0,8.0
2030,2031,2/18/1945,PTO,USA,B29,,,,,JAPAN,SHINKAWA,34.9,137.0,185.0,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
2032,2033,2/18/1945,PTO,USA,B29,,,,,JAPAN,ARAI,34.7,137.56666669999998,185.0,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
2060,2061,2/18/1945,PTO,USA,B24,,,,,FORMOSA AND RYUKYU ISLANDS,MAKO HARBOR,23.53333333,119.56666670000001,1.0,4.0,1000 LB GP (GP-M44/M65),,2.0,,,,,,,,,,2.0
2066,2067,2/18/1945,CBI,USA,B24,,,,,CHINA,22 40 N 115 4,22.66666667,115.75,,0.0,500 LB GP (GP-M43/M64),,4.0,,,,,,,,,,4.0
2099,2100,2/18/1945,ETO,USA,B26,,,,,GERMANY,BURGEN,50.21,7.39,,,,,12.0,,,,,,,,,,12.0
2129,2130,8/23/1943,PTO,USA,B25,,,,,NEW GUINEA,MARAWASA,-6.1166666670000005,146.05,,,,,,,4 LB INCENDIARY,,3.0,,,,,,3.0
2139,2140,8/24/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,CASTROVILLARI,39.8,16.2,,32.0,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0
2140,2141,8/24/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,SIBARI,39.78,16.47,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
2144,2145,8/24/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,SAPRI,40.07,15.63,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
2285,2286,7/31/1944,ETO,,B26,,,,,FRANCE,FORGES,45.13,1.88,120.0,,,,2.0,,,,,,,,,,2.0
2344,2345,2/18/1945,CBI,USA,B25,,,,,BURMA,PAUKTAW,21.88333333,95.88333333,50.0,,,,,,100 LB INCENDIARY,,8.0,,,,,,8.0
2346,2347,2/18/1945,CBI,USA,P47,,,,,BURMA,MADAYA,22.21666667,96.1,15.0,,,,,8.0,500 LB AUX FUEL TANK INCENDIARY,,2.0,,,,,,2.0
2378,2379,2/19/1945,PTO,USA,P51,,,,,PHILIPPINE ISLANDS,SAN MANUEL,15.5,120.66666670000001,50.0,32.0,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0
2387,2388,2/19/1945,PTO,USA,B24,,,,,SOLOMON ISLANDS,MANDOEL I SL,-8.266666667,157.15,80.0,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
2391,2392,2/19/1945,CBI,USA,P47,,,,,BURMA,KUNZIAK,21.41666667,95.41666667,15.0,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
2557,2558,7/31/1944,MTO,USA,B24,,,,,ROMANIA,TARGOVISTE,44.93,25.48,195.0,,,,61.0,,,,,,,,,,61.0
2559,2560,7/31/1944,MTO,USA,B24,,,,,ROMANIA,DOICESCI,44.98,25.42,180.0,,,,49.0,,,,,,,,,,49.0
2586,2587,7/31/1944,CBI,USA,B25,,,,,BURMA,PAUNGBYIN,24.26666667,94.81666667,,,250 LB GP (GP-M57),,7.0,,,,,,,,,,7.0
2592,2593,7/31/1944,PTO,USA,A20,,,,,JAVA,KOPA,-7.65,126.63333329999999,5.0,,250 LB GP (GP-M57),,3.0,,,,,,,,,,3.0
2649,2650,2/19/1945,ETO,USA,B26,,,,,GERMANY,AU,50.77,7.67,115.0,,,,1.0,,,,,,,,,,1.0
2773,2774,8/27/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,PAOLA,39.35,16.05,,32.0,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0
2774,2775,8/27/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,SIBARI,39.78,16.47,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
2775,2776,8/27/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,CASERTA,41.07,14.33,,16.0,500 LB GP (GP-M43/M64),,4.0,,,,,,,,,,4.0
2779,2780,2/16/1944,PTO,USA,B17,,,,,BISMARK ARCHIPELAGO,MALMAL,-5.583333333,151.5,30.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
2817,2818,8/1/1944,PTO,USA,B25,,,,,NEW GUINEA,KINARA,-2.25,132.75,,20.0,100 LB GP (GP-M30),,1.0,,,,,,,,,,1.0
2830,2831,8/1/1944,CBI,USA,P47,,,,,BURMA,PINLE,21.7,95.53333333,25.0,8.0,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
2834,2835,1/25/1944,PTO,USA,B25,,,,,BORNEO,PISANG,3.9666666669999997,107.98333329999998,,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
3090,3091,8/27/1943,MTO,,A20,,,,,ITALY,VILLA SAN GIOVANNI,38.2,15.65,10.0,,,,1.0,,,,,,,,3.0,,4.0
3133,3134,8/1/1944,ETO,,B24,,,,,FRANCE,VILLAROCHE,48.62,2.67,212.0,,,,30.0,,,,6.0,,,,,,36.0
3186,3187,8/1/1944,ETO,,B26,,,,,FRANCE,CHATEAU DU LOIR,47.7,0.42,110.0,,,,64.0,,,,,,,,,,64.0
3193,3194,8/1/1944,ETO,,B24,,,,,FRANCE,CHARLY SUR MARNE,48.97,3.28,,,,,40.0,,,,,,,,,,40.0
3201,3202,8/28/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,AVERSA,40.97,16.18,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
3205,3206,8/28/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,CASTROVILLARI,39.8,16.2,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
3283,3284,8/29/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,ANGITOLA RIVER,38.75,16.17,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
3285,3286,8/29/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,TORRE ANNUNZIATA,40.77,14.43,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
3290,3291,6/28/1945,PTO,USA,B24,,,,,BISMARK ARCHIPELAGO,2 17 S 143 2,-2.2833333330000003,141.33333330000002,2.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
3293,3294,8/29/1943,CBI,USA,B24,,,,,BURMA,MYITKYINA,15.38333333,97.4,132.0,,1000 LB GP (GP-M44/M65),,15.0,,,,,,,,,,15.0
3336,3337,2/19/1945,ETO,,B24,,,,,GERMANY,JUGENTAL,50.82,7.88,,,,,,,,,,,,,,,
3338,3339,2/19/1945,ETO,,B26,,,,,GERMANY,LAHR,48.35,7.87,,,,,54.0,,,,,,,,,,54.0
3358,3359,2/19/1945,ETO,,B26,,,,,GERMANY,TRABEN,49.93,7.12,,,,,6.0,,,,,,,,,,6.0
3394,3395,2/19/1945,MTO,USA,B24,,,,,YUGOSLAVIA,46 00 N 014 00 E,46.0,14.0,,,,,2.0,,,,,,,,,,2.0
3428,3429,8/1/1944,MTO,,B26,,,,,ITALY,ORMEA,44.13,7.9,105.0,,,,24.0,,,,,,,,,,24.0
3430,3431,8/1/1944,MTO,,B25,,,,,ITALY,VIGONE,44.85,7.5,105.0,,,,34.0,,,,,,,,,,34.0
3520,3521,8/29/1943,CBI,USA,B25,,,,,CHINA,KINGUEN,30.96666667,112.06666670000001,158.0,,,,,,,,,100.0,120 LB FRAG (6X20 CLUSTERS),,6.0,,6.0
3540,3541,8/30/1943,PTO,USA,B17,,,,,SOLOMON ISLANDS,5 30 S 154 3,-5.5,154.58333330000002,50.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
3558,3559,8/30/1943,ETO,,B26,,,,,FRANCE,EPERLECQUES,50.8,2.17,,,,,29.0,,,,,,,,,,29.0
3576,3577,8/30/1943,MTO,USA,B26,,,,,ITALY,AVERSA,40.97,16.18,96.0,,,,5.0,,,,,,,,,,5.0
3592,3593,8/30/1943,MTO,USA,A20,,,,,ITALY,PAOLA,39.35,16.05,,,,,1.0,,,,,,,,,,1.0
3619,3620,2/19/1945,PTO,USA,A20,,,,,PHILIPPINE ISLANDS,SAN AGUSTIN,12.41666667,121.0,1.0,,250 LB GP (GP-M57),,5.0,,,,,,,,,,5.0
3682,3683,2/20/1945,CBI,USA,P47,,,,,BURMA,HPAWE,19.15,96.93333333,20.0,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
3696,3697,2/20/1945,CBI,USA,P47,,,,,BURMA,MONGLANG,23.41666667,93.91666667,15.0,8.0,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
3729,3730,8/2/1944,MTO,USA,A36,PORETTA AIRFIELD,ITALY,42.55,9.484722,ITALY,FABA SABINA,42.2,12.72,,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
3742,3743,8/2/1944,CBI,USA,P47,,,,,BURMA,MAINGKA,24.3,97.18333333,10.0,8.0,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
3763,3764,8/2/1944,ETO,USA,A20,,,,,FRANCE,MANVILLIERS,48.3,2.28,125.0,,,,31.0,,,,,,,,,,31.0
3767,3768,8/2/1944,ETO,USA,B26,,,,,FRANCE,EVRON,48.15,-0.4,,,,,8.0,,,,,,,,,,8.0
3769,3770,8/2/1944,ETO,USA,B26,,,,,FRANCE,NOYEN,48.45,3.35,,,,,8.0,,,,,,,,,,8.0
3818,3819,8/31/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,SAPRI,40.07,15.63,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
3819,3820,8/31/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,CETRARO,39.5,15.93,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
4045,4046,8/2/1944,ETO,,B24,,,,,FRANCE,QUINEAMPOIX,49.52,1.18,226.0,,,,24.0,,,,,,,,,,24.0
4082,4083,8/2/1944,ETO,,B24,,,,,FRANCE,MONTEREAU,48.38,2.95,180.0,,,,112.0,,,,,,,,,,112.0
4089,4090,8/2/1944,ETO,,B26,,,,,SWITZERLAND,LISLE,46.62,6.42,126.0,,,,67.0,,,,,,,,,,67.0
4145,4146,9/1/1943,PTO,USA,B24,,,,,NEW GUINEA,AMRON,-5.15,145.8,63.0,48.0,1000 LB GP (GP-M44/M65),,24.0,,,,,,,,,,24.0
4156,4157,9/1/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,CAPUA,41.1,14.2,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
4194,4195,9/1/1943,MTO,USA,B25,,,,,ITALY,OLIVETO,43.38,16.2,,,,,5.0,,,,,,,,,,5.0
4310,4311,8/2/1944,ETO,,A20,,,,,FRANCE,CAUDEBEC LES ELBEUF,49.37,1.03,12.0,,,,37.0,,,,,,,,,,37.0
4318,4319,8/2/1944,ETO,,B17,,,,,FRANCE,AULNOIS,48.87,6.32,,,,,3.0,,,,,,,,,,3.0
4319,4320,8/2/1944,ETO,,B17,,,,,FRANCE,BEAUTOR,49.63,3.35,,,,,3.0,,,,,,,,,,3.0
4338,4339,8/2/1944,ETO,,B24,,,,,FRANCE,CRETON,48.85,1.13,,,,,12.0,,,,,,,,,,12.0
4405,4406,9/2/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,NICASTRO,38.97,16.3,,52.0,500 LB GP (GP-M43/M64),,13.0,,,,,,,,,,13.0
4408,4409,9/2/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,LAMEZIA,38.92,16.25,,32.0,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0
4409,4410,9/2/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,CATANZARO,38.9,16.62,,30.0,500 LB GP (GP-M43/M64),,7.5,,,,,,,,,,7.5
4421,4422,6/29/1945,PTO,USA,B24,,,,,BISMARK ARCHIPELAGO,1 15 S 148 3,-1.25,148.58333330000002,100.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
4465,4466,9/2/1943,MTO,USA,B25,,,,,ITALY,MONASTERACE,38.45,16.55,110.0,,,,20.0,,,,,,,,,,20.0
4468,4469,9/2/1943,MTO,USA,A20,,,,,ITALY,BOVA,37.98,15.93,105.0,,,,6.0,,,,,,,,,,6.0
4485,4486,9/2/1943,MTO,USA,B25,,,,,ITALY,38 00 N 015 40 E,38.0,15.67,12.0,,,,20.0,,,,,,,,,,20.0
4487,4488,9/2/1943,MTO,USA,B25,,,,,ITALY,LOCRI,38.23,16.27,11.0,,,,18.0,,,,,,,,,,18.0
4504,4505,2/20/1945,PTO,USA,P51,,,,,PHILIPPINE ISLANDS,14 30 N 121 0,14.5,121.06666670000001,1.0,,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0
4542,4543,2/21/1945,CBI,USA,P38,,,,,BURMA,HOYAU,22.95,97.68333333,20.0,18.46153846,325 LB DC (DB-MK 17/47),,3.0,,,,,,,,,,3.0
4555,4556,2/21/1945,CBI,USA,P47,,,,,BURMA,NAKIO,22.68333333,97.3,15.0,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
4571,4572,2/21/1945,CBI,USA,P47,,,,,BURMA,MAMO,16.25,95.05,20.0,4.0,500 LB GP (GP-M43/M64),,1.0,9.0,228 LB (38X6 CLUSTERS) INCENDIARY,,1.0,,,,,,2.0
4592,4593,2/21/1945,ETO,USA,B24,,,,,AUSTRIA,LANDSBERG,46.82,15.23,,,,,2.0,,,,,,,,,,2.0
4645,4646,8/3/1944,CBI,USA,P47,,,,,BURMA,MOSIT,24.21666667,96.83333333,15.0,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
4666,4667,8/3/1944,PTO,USA,B24,,,,,CELEBES ISLANDS,CERAM SEA,-3.416666667,132.1666667,15.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
4675,4676,8/3/1944,CBI,USA,P51,,,,,BURMA,KYAGYIGON,25.0,96.58333333,1.0,0.0,250 LB GP (GP-M57),,,,,,,,,,,,
4732,4733,9/3/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,MARINA DI CATANZARO,40.83,16.23,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
4733,4734,9/3/1943,PTO,USA,P40,,,,,FRENCH INDO CHINA,PHO LU,22.3,104.08333329999999,15.0,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,0.0,120 LB FRAG (6X20 CLUSTERS),,,,2.0
4738,4739,9/3/1943,MTO,GREAT BRITAIN,LIB,OUDNA,TUNISIA,36.649608,10.121936,GREECE,GROTTAGLIE,40.53,17.42,,0.0,500 LB GP (GP-M43/M64),,,,,,0.0,,,,0.0,,36.0
4794,4795,9/3/1943,ETO,GREAT BRITAIN,MED,,,,,FRANCE,FORET DE RAISMES,50.4,3.5,,,,,50.0,,,,,,,,,,50.0
4917,4918,8/3/1944,ETO,USA,B26,,,,,FRANCE,LA CHENAIE,47.47,-1.63,110.0,,,,70.0,,,,,,,,,,70.0
4961,4962,8/3/1944,ETO,USA,B17,,,,,FRANCE,MERKWILLER,53.52,13.77,189.0,,,,30.0,,,,,,,,,,30.0
5021,5022,9/3/1943,MTO,USA,A20,,,,,ITALY,SCILLA,38.23,15.72,10.0,,,,1.0,,,,,,,,5.0,,6.0
5129,5130,2/21/1945,ETO,,A26,,,,,HOLLAND OR NETHERLANDS,BUNDE,50.9,5.73,,,,,10.0,,,,,,,,,,10.0
5133,5134,2/21/1945,ETO,,B26,,,,,GERMANY,EVENBURG,49.8,7.83,,,,,,,,,2.0,,,,,,2.0
5167,5168,2/21/1945,ETO,,A26,,,,,GERMANY,NIEUKERK,51.47,6.37,,,,,14.0,,,,,,,,,,14.0
5185,5186,2/21/1945,ETO,,B26,,,,,GERMANY,REISENBACH,49.55,9.07,,,,,24.0,,,,,,,,,,24.0
5188,5189,2/21/1945,ETO,,B26,,,,,GERMANY,STEINEGG,48.8,8.8,,,,,6.0,,,,,,,,,,6.0
5194,5195,2/21/1945,ETO,,A26,,,,,GERMANY,WEEZE,51.62,6.2,,,,,10.0,,,,,,,,,,10.0
5311,5312,1/10/1943,PTO,USA,B24,,,,,BORNEO,HEATH,5.366666667,115.2,73.0,48.0,1000 LB GP (GP-M44/M65),,24.0,,,,,,,,,,24.0
5355,5356,9/5/1943,MTO,USA,B25,,,,,ITALY,BRIATICO,38.7,16.02,,,,,18.0,,,,,,,,,,18.0
5397,5398,9/5/1943,PTO,USA,B25,,,,,NEW GUINEA,NARAKAPOR,-6.666666667,146.83333330000002,10.0,,,,,,,,,400.0,120 LB FRAG (6X20 CLUSTERS),,24.0,,24.0
5412,5413,2/21/1945,MTO,USA,B17,,,,,YUGOSLAVIA,46 20 N 015 40 E,46.33,15.67,,,,,3.0,,,,,,,,,,3.0
5460,5461,2/21/1945,PTO,USA,P38,,,,,PHILIPPINE ISLANDS,NARVACAN,17.41666667,120.5,10.0,,,,,18.0,1000 LB AUX FUEL TANK INCENDIARY,,9.0,,,,,,9.0
5480,5481,2/22/1945,PTO,USA,B24,,,,,PHILIPPINE ISLANDS,15 15 N 120 3,15.25,120.5,60.0,48.0,1000 LB GP (GP-M44/M65),,24.0,,,,,,,,,,24.0
5499,5500,2/22/1945,CBI,USA,P47,,,,,BURMA,NAMANG,21.95,98.28333333,15.0,16.0,250 LB GP (GP-M57),,2.0,,,,,,,,,,2.0
5516,5517,8/3/1944,MTO,USA,B17,,,,,ITALY,CORNIA,43.0,10.6,,,,,1.0,,,,,,,,,,1.0
5517,5518,8/3/1944,MTO,USA,B17,,,,,ITALY,44 40 N 013 20 E,44.67,13.33,,,,,14.0,,,,,,,,,,14.0
5523,5524,8/3/1944,MTO,USA,B26,,,,,ITALY,GILETTE,43.85,7.16,,,,,,,,,,,,,,,
5533,5534,8/3/1944,MTO,,B26,,,,,ITALY,LESEGNO,44.47,7.57,93.0,,,,44.0,,,,,,,,,,44.0
